's	s'
1	first
10	tenth
100	hundredth
1000	thousandth
1000000	millionth
1000000000	billionth
11	eleventh
12	twelfth
13	thirteenth
14	fourteenth
15	fifteenth
16	sixteenth
17	seventeenth
18	eighteenth
19	nineteenth
2	second
20	twentieth
200	two-hundredth
21	twenty-first
22	twenty-second
23	twenty-third
24	twenty-fourth
25	twenty-fifth
26	twenty-sixth
27	twenty-seventh
28	twenty-eighth
29	twenty-ninth
3	third
30	thirtieth
300	three-hundredth
31	thirty-first
32	thirty-second
33	thirty-third
34	thirty-fourth
35	thirty-fifth
36	thirty-sixth
37	thirty-seventh
38	thirty-eighth
39	thirty-ninth
4	fourth
40	fortieth
400	four-hundredth
41	forty-first
42	forty-second
43	forty-third
44	forty-fourth
45	forty-fifth
46	forty-sixth
47	forty-seventh
48	forty-eighth
49	forty-ninth
5	fifth
50	fiftieth
500	five-hundredth
51	fifty-first
52	fifty-second
53	fifty-third
54	fifty-fourth
55	fifty-fifth
56	fifty-sixth
57	fifty-seventh
58	fifty-eighth
59	fifty-ninth
6	sixth
60	sixtieth
600	six-hundredth
61	sixty-first
62	sixty-second
63	sixty-third
64	sixty-fourth
65	sixty-fifth
66	sixty-sixth
67	sixty-seventh
68	sixty-eighth
69	sixty-ninth
7	seventh
70	seventieth
700	seven-hundredth
71	seventy-first
72	seventy-second
73	seventy-third
74	seventy-fourth
75	seventy-fifth
76	seventy-sixth
77	seventy-seventh
78	seventy-eighth
79	seventy-ninth
8	eighth
80	eightieth
800	eight-hundredth
81	eighty-first
82	eighty-second
83	eighty-third
84	eighty-fourth
85	eighty-fifth
86	eighty-sixth
87	eighty-seventh
88	eighty-eighth
89	eighty-ninth
9	ninth
90	ninetieth
900	nine-hundredth
91	ninety-first
92	ninety-second
93	ninety-third
94	ninety-fourth
95	ninety-fifth
96	ninety-sixth
97	ninety-seventh
98	ninety-eighth
99	ninety-ninth
A-bomb	A-bombs
AGM	AGMs
Aborigine	Aborigines
Admiralty	Admiralties
Afghan	Afghans
African	Africans
Afrikaner	Afrikaners
Afro	Afros
Albanian	Albanians
Algerian	Algerians
Alsatian	Alsatians
American	Americans
Americanism	Americanisms
Americanize	Americanizes,Americanized,Americanizing
Anglo-Saxon	Anglo-Saxons
Angolan	Angolans
April	Aprils
Aquarius	Aquariuses
Arab	Arabs
Argentine	Argentines
Argentinian	Argentinians
Armenian	Armenians
Asian	Asians
Asiatic	Asiatics
August	Augusts
Australian	Australians
Austrian	Austrians
B	B's
BA	BAs
BCG	BCGs
BSc	BScs
Bahamian	Bahamians
Bahraini	Bahrainis
Band-Aid	Band-Aids
Bangladeshi	Bangladeshis
Baptist	Baptists
Bedouin	Bedouins
Beefeater	Beefeaters
Belgian	Belgians
Benedictine	Benedictines
Bengali	Bengalis
Biro	Biros
Boer	Boers
Bolivian	Bolivians
Bolshevik	Bolsheviks
Brahmin	Brahmins
Brazilian	Brazilians
Breathalyzer	Breathalyzers
Brit	Brits
Britisher	Britishers
Briton	Britons
Buddha	Buddhas
Buddhist	Buddhists
Bulgarian	Bulgarians
Burgomaster	Burgomasters
Burgundy	Burgundies
Burmese	Burmeses
Bushman	Bushmen
CBI	CBIs
CCTV	CCTVs
CD	CDs
CID	CIDs
CV	CV's,CVs
Caesarean	Caesareans
Cambodian	Cambodians
Canadian	Canadians
Catholic	Catholics
Celt	Celts
Chilean	Chileans
Chinese	Chineses
Christian	Christians
Christmas	Christmases
Colombian	Colombians
Conservatrice	Conservatrices
Cuban	Cubans
Cypriot	Cypriots
Czech	Czechs
Czechoslovakian	Czechoslovakians
D-day	D-days
DJ	DJs
Dalmatian	Dalmatians
Dane	Danes
December	Decembers
Dictaphone	Dictaphones
Dr	Drs
Dutchman	Dutchmen
Dutchwoman	Dutchwomen
EEC	EECs
EP	EPs
Easter	Easters
Ecuadorian	Ecuadorians
Egyptian	Egyptians
Englishman	Englishmen
Englishwoman	Englishwomen
Eskimo	Eskimos
Ethiopian	Ethiopians
Eucharist	Eucharists
Eurasian	Eurasians
European	Europeans
Excellency	Excellencies
FALSE	falsest,falser
February	Februaries
Fedex	Fedexed,Fedexes,Fedexing
Filipino	Filipinos
Finn	Finns
Freemason	Freemasons
Frenchman	Frenchmen
Frenchwoman	Frenchwomen
Friday	Fridays
Frisbee	Frisbees
G-string	G-strings
